customer_id,tenure,monthly_charges,total_charges,contract,internet_service,payment_method,tech_support,online_security,paperless_billing,senior_citizen,dependents,partner,num_services,churn
CUST00035,18,92.84,1661.92,Month-to-month,No,Mailed check,No,No,Yes,0,No,No,3,0
CUST00036,4,51.65,289.21,One year,DSL,Electronic check,No,No,Yes,0,No,No,2,0
CUST00037,60,54.22,3230.88,One year,Fiber optic,Mailed check,No,No,No,1,No,Yes,3,0
CUST00038,14,39.45,494.95,Month-to-month,Fiber optic,Mailed check,No internet service,No,No,0,No,Yes,3,0
CUST00039,9,76.19,733.62,Month-to-month,No,Bank transfer,Yes,Yes,Yes,0,No,No,6,0
CUST00040,53,51.46,2753.55,Month-to-month,DSL,Electronic check,No,No internet service,No,0,Yes,Yes,4,0
CUST00041,2,28.44,67.51,One year,No,Bank transfer,No,No,No,0,No,Yes,4,0
CUST00042,60,88.5,5244.07,One year,DSL,Electronic check,No,No,Yes,0,Yes,Yes,7,0
CUST00043,71,90.78,6386.55,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,0,Yes,Yes,7,0
CUST00044,44,56.0,2387.13,One year,Fiber optic,Bank transfer,Yes,Yes,Yes,0,No,Yes,1,0
CUST00045,8,27.67,242.94,Month-to-month,DSL,Electronic check,No,No internet service,No,1,No,Yes,5,0
CUST00046,47,62.63,2994.6,One year,Fiber optic,Credit card,No,No,Yes,0,No,Yes,7,0
CUST00047,35,64.23,2271.31,One year,Fiber optic,Bank transfer,No internet service,No,No,1,No,No,1,0
CUST00048,36,86.87,3224.82,Two year,DSL,Bank transfer,No internet service,Yes,No,1,Yes,Yes,4,0
CUST00049,50,51.54,2554.9,Month-to-month,DSL,Electronic check,No internet service,No,Yes,1,No,No,1,0
CUST00050,4,88.26,336.86,Month-to-month,DSL,Electronic check,No,No internet service,No,0,No,No,7,1
CUST00051,2,107.15,219.63,Month-to-month,Fiber optic,Credit card,No,No internet service,Yes,1,Yes,Yes,2,0
CUST00052,6,43.75,251.03,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0,No,Yes,6,0
CUST00053,54,117.89,6391.0,Month-to-month,Fiber optic,Credit card,Yes,No,Yes,0,No,Yes,7,1
CUST00054,4,58.64,202.58,Month-to-month,DSL,Electronic check,No internet service,No internet service,Yes,0,No,Yes,2,0
CUST00055,54,46.73,2453.68,Month-to-month,Fiber optic,Mailed check,No,No internet service,Yes,0,No,No,3,1
CUST00056,63,62.15,3825.98,Two year,No,Bank transfer,No internet service,No internet service,Yes,1,No,No,1,0
CUST00057,18,29.44,553.95,One year,DSL,Credit card,No,No internet service,No,0,No,No,6,0
CUST00058,44,32.57,1406.78,Month-to-month,DSL,Electronic check,No,No,No,0,No,Yes,1,1
CUST00059,34,61.44,2030.48,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1,Yes,No,4,1
CUST00060,62,96.24,5935.93,Month-to-month,Fiber optic,Bank transfer,No internet service,No,Yes,0,No,No,1,0
CUST00061,14,110.03,1638.05,Month-to-month,Fiber optic,Electronic check,No,No,No,0,No,No,7,1
CUST00062,48,86.48,4095.5,Month-to-month,No,Electronic check,Yes,No,No,0,Yes,Yes,6,1
CUST00063,15,30.52,494.16,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,0,Yes,No,3,1
CUST00064,62,87.2,5427.45,Two year,Fiber optic,Mailed check,No,Yes,Yes,0,No,No,4,0
CUST00065,40,83.54,3408.67,One year,Fiber optic,Bank transfer,Yes,Yes,Yes,0,No,No,3,0
CUST00066,53,100.58,5324.59,Month-to-month,DSL,Credit card,Yes,No,No,0,Yes,Yes,2,0
CUST00067,24,102.52,2382.46,Two year,Fiber optic,Electronic check,No,Yes,Yes,1,Yes,Yes,4,0
CUST00068,26,106.82,2826.95,Month-to-month,No,Electronic check,Yes,No,No,0,No,No,5,0
CUST00069,60,61.41,3672.11,Month-to-month,No,Mailed check,No,No internet service,Yes,0,No,Yes,3,0
CUST00070,41,89.79,3745.11,Month-to-month,Fiber optic,Electronic check,No,No internet service,Yes,0,Yes,Yes,5,1
CUST00071,29,46.83,1398.87,One year,DSL,Electronic check,No,No,Yes,0,No,No,5,0
CUST00072,15,119.93,1848.74,Month-to-month,DSL,Bank transfer,No,No,Yes,0,Yes,Yes,3,0
CUST00073,45,37.53,1807.27,Month-to-month,DSL,Electronic check,Yes,No internet service,Yes,0,No,Yes,7,0
CUST00074,65,21.01,1379.75,Two year,No,Bank transfer,No,No internet service,Yes,1,No,No,4,0
CUST00075,71,34.88,2548.62,Month-to-month,DSL,Credit card,No,No,Yes,1,No,No,6,0
CUST00076,9,97.59,858.07,One year,Fiber optic,Credit card,No internet service,No,Yes,0,No,No,5,0
CUST00077,1,64.68,91.72,Two year,No,Mailed check,No,No,Yes,0,Yes,Yes,4,0
CUST00078,8,64.75,492.89,Month-to-month,DSL,Mailed check,No internet service,Yes,No,0,No,No,5,0
CUST00079,63,115.5,7300.46,Two year,Fiber optic,Mailed check,No,No internet service,Yes,0,No,No,3,0
CUST00080,11,111.96,1250.3,One year,DSL,Credit card,Yes,No,Yes,0,No,Yes,1,0
CUST00081,8,51.12,305.93,Two year,Fiber optic,Credit card,No,No,Yes,0,Yes,No,6,0
CUST00082,35,40.91,1401.26,Month-to-month,DSL,Credit card,No,No,No,0,Yes,No,4,0
CUST00083,35,104.85,3681.27,Two year,Fiber optic,Mailed check,No internet service,Yes,Yes,1,Yes,Yes,5,1
CUST00084,33,110.6,3536.93,Month-to-month,No,Electronic check,Yes,No,Yes,0,No,No,1,1
CUST00085,5,74.16,366.01,One year,Fiber optic,Credit card,Yes,No,Yes,0,Yes,Yes,6,0
CUST00086,41,82.94,3450.96,Month-to-month,Fiber optic,Credit card,No internet service,No,Yes,1,No,Yes,1,1
CUST00087,28,45.69,1344.33,Month-to-month,No,Credit card,No,Yes,No,0,No,Yes,1,1
CUST00088,7,100.08,661.44,Month-to-month,DSL,Mailed check,No,No internet service,No,1,No,No,6,1
CUST00089,12,83.21,1066.74,Month-to-month,No,Mailed check,No,No,No,0,No,No,3,1
CUST00090,34,70.35,2452.31,Month-to-month,DSL,Electronic check,Yes,No,Yes,0,Yes,Yes,3,1
CUST00091,33,26.01,750.94,Month-to-month,Fiber optic,Credit card,No,Yes,No,0,No,Yes,3,1
CUST00092,48,111.59,5362.11,Month-to-month,DSL,Credit card,No internet service,Yes,No,0,No,Yes,3,0
CUST00093,23,81.55,1886.97,Month-to-month,DSL,Electronic check,No internet service,No,Yes,0,Yes,No,4,0
CUST00094,62,39.27,2510.68,Month-to-month,No,Bank transfer,Yes,No,Yes,0,Yes,Yes,7,0
CUST00095,37,80.64,2998.0,Month-to-month,DSL,Electronic check,No,No internet service,Yes,0,No,No,5,1
CUST00096,44,87.75,3930.69,Two year,DSL,Mailed check,Yes,No,Yes,0,Yes,No,4,0
CUST00097,35,72.58,2501.26,One year,Fiber optic,Electronic check,No internet service,No internet service,Yes,0,No,No,1,0
CUST00098,65,91.81,5887.75,Month-to-month,Fiber optic,Mailed check,No,No,Yes,0,No,Yes,6,1
CUST00099,47,78.15,3640.66,Month-to-month,No,Electronic check,No,No,No,0,Yes,No,5,0
CUST00100,3,114.78,423.19,One year,No,Mailed check,No,No,Yes,0,No,Yes,5,1
CUST00101,1,25.37,71.67,Month-to-month,DSL,Credit card,No internet service,No internet service,Yes,0,Yes,Yes,6,1
CUST00102,5,30.62,269.22,Month-to-month,DSL,Electronic check,No internet service,Yes,Yes,0,No,Yes,6,0
CUST00103,14,37.37,451.01,Month-to-month,DSL,Credit card,Yes,No internet service,Yes,0,Yes,Yes,1,0
CUST00104,27,89.02,2455.61,Two year,Fiber optic,Mailed check,No,Yes,Yes,0,No,No,2,1
CUST00105,9,84.56,798.78,Month-to-month,DSL,Bank transfer,No,No internet service,Yes,0,No,Yes,7,0
CUST00106,15,109.21,1623.88,One year,Fiber optic,Credit card,Yes,No,No,0,No,No,6,0
CUST00107,42,93.29,3956.98,Month-to-month,Fiber optic,Electronic check,No internet service,No internet service,No,0,No,No,5,1
CUST00108,51,70.84,3619.84,One year,Fiber optic,Mailed check,No,No,Yes,0,No,Yes,7,1
CUST00109,63,119.18,7531.36,Month-to-month,DSL,Electronic check,Yes,Yes,No,1,No,Yes,7,0
CUST00110,52,46.61,2457.75,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,1,Yes,No,4,1
CUST00111,4,103.32,462.29,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1,No,Yes,5,1
CUST00112,23,62.68,1445.98,Two year,Fiber optic,Bank transfer,No internet service,No,Yes,0,No,No,7,0
CUST00113,15,84.87,1361.92,Month-to-month,DSL,Bank transfer,No,No,No,0,No,No,6,1
CUST00114,43,92.73,3976.6,Month-to-month,Fiber optic,Mailed check,Yes,Yes,No,1,Yes,No,6,1
CUST00115,29,83.38,2512.21,One year,Fiber optic,Electronic check,No,Yes,No,0,No,No,1,0
CUST00116,36,34.05,1169.41,One year,DSL,Electronic check,No internet service,No,No,0,No,No,7,0
CUST00117,13,64.3,786.65,Month-to-month,No,Electronic check,Yes,No,No,0,No,Yes,1,0
CUST00118,32,76.14,2390.15,Month-to-month,Fiber optic,Bank transfer,No internet service,No,No,0,No,Yes,6,0
CUST00119,71,104.9,7495.74,Month-to-month,Fiber optic,Electronic check,No internet service,No,Yes,0,No,No,4,1
CUST00120,59,64.36,3756.97,Month-to-month,No,Credit card,No,No internet service,No,0,No,No,1,0
CUST00121,28,111.87,3206.87,Two year,Fiber optic,Bank transfer,No internet service,Yes,No,1,No,Yes,5,1
CUST00122,66,64.04,4200.32,Month-to-month,No,Mailed check,Yes,No internet service,No,0,No,No,3,0
CUST00123,42,74.88,3164.92,Two year,Fiber optic,Electronic check,No internet service,No,Yes,0,No,No,4,0
CUST00124,45,99.63,4515.35,Month-to-month,Fiber optic,Mailed check,Yes,Yes,Yes,0,No,No,1,0
CUST00125,62,78.31,4804.43,Month-to-month,DSL,Credit card,No,No internet service,No,0,No,Yes,2,0
CUST00126,57,116.02,6543.6,Month-to-month,DSL,Credit card,No,No,Yes,0,Yes,Yes,2,1
CUST00127,6,86.03,530.32,One year,Fiber optic,Electronic check,No,No internet service,No,0,No,No,3,0
CUST00128,28,72.27,2009.7,Month-to-month,Fiber optic,Bank transfer,Yes,No,Yes,1,No,Yes,7,0
CUST00129,28,22.36,651.0,One year,Fiber optic,Electronic check,No internet service,No,No,0,No,No,7,0
CUST00130,44,61.37,2633.0,One year,Fiber optic,Mailed check,No,No internet service,No,0,Yes,No,5,0
CUST00131,30,49.92,1479.76,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,Yes,0,No,Yes,6,1
CUST00132,62,94.81,5869.13,Month-to-month,DSL,Credit card,No,No internet service,Yes,1,No,No,3,0
CUST00133,62,40.83,2409.59,Month-to-month,DSL,Electronic check,No,No,Yes,0,No,No,5,0
CUST00134,1,40.52,90.29,One year,DSL,Electronic check,No internet service,No,Yes,0,No,Yes,6,0
CUST00135,27,38.95,1013.78,Month-to-month,DSL,Bank transfer,No internet service,No,No,0,No,Yes,6,0
CUST00136,62,32.56,2093.68,One year,Fiber optic,Credit card,No,No,No,0,No,No,7,0
CUST00137,3,51.1,118.66,Month-to-month,Fiber optic,Bank transfer,No internet service,Yes,Yes,0,No,No,2,0
CUST00138,70,108.59,7575.23,One year,DSL,Mailed check,No,Yes,Yes,0,Yes,Yes,1,0
CUST00139,27,97.49,2570.13,One year,No,Credit card,No,No,No,0,No,Yes,3,0
CUST00140,9,93.53,899.1,Month-to-month,No,Credit card,No internet service,No,No,0,No,Yes,1,1
CUST00141,62,99.73,6205.97,Two year,Fiber optic,Bank transfer,No,No,No,0,No,No,2,0
CUST00142,37,46.94,1806.79,One year,Fiber optic,Credit card,Yes,No,Yes,1,No,No,5,0
CUST00143,51,108.74,5535.37,Month-to-month,DSL,Bank transfer,Yes,No,No,0,No,Yes,7,1
CUST00144,44,33.73,1482.03,One year,Fiber optic,Electronic check,No,No,No,0,No,Yes,6,0
CUST00145,24,53.63,1203.02,One year,DSL,Electronic check,No internet service,No,Yes,0,No,Yes,1,0
CUST00146,59,78.67,4610.33,Month-to-month,Fiber optic,Mailed check,Yes,No,Yes,0,No,Yes,2,0
CUST00147,32,30.29,977.8,Month-to-month,Fiber optic,Credit card,No,No internet service,Yes,1,No,No,4,0
CUST00148,52,93.01,4855.88,Month-to-month,No,Credit card,No,No internet service,No,0,No,Yes,6,1
CUST00149,62,58.72,3731.84,Two year,Fiber optic,Electronic check,No,Yes,Yes,0,No,No,3,0
CUST00150,58,98.44,5616.97,One year,DSL,Electronic check,Yes,No,No,0,Yes,No,5,0
CUST00151,52,69.29,3614.55,Month-to-month,Fiber optic,Credit card,No internet service,No,No,0,No,Yes,5,1
CUST00152,12,38.09,438.27,Month-to-month,No,Bank transfer,Yes,No internet service,Yes,0,No,No,4,1
CUST00153,39,93.48,3649.5,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0,No,No,6,0
CUST00154,2,45.21,95.56,Month-to-month,No,Mailed check,No,No,No,0,No,No,6,0
CUST00155,3,69.08,197.68,Month-to-month,No,Electronic check,Yes,No,No,0,No,Yes,3,0
CUST00156,56,27.55,1486.14,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,1,No,No,7,0
CUST00157,59,81.79,4759.67,Two year,DSL,Credit card,No,No,Yes,0,Yes,No,1,1
CUST00158,2,86.59,159.93,Two year,DSL,Credit card,No,No,Yes,0,Yes,No,2,1
CUST00159,2,57.87,44.71,Month-to-month,No,Electronic check,No,No,No,0,No,Yes,2,0
CUST00160,54,115.44,6228.11,Month-to-month,No,Credit card,Yes,No,Yes,1,No,Yes,1,1
CUST00161,1,107.42,94.75,Two year,DSL,Mailed check,No,No internet service,Yes,0,No,Yes,7,0
CUST00162,19,90.79,1602.51,Month-to-month,Fiber optic,Electronic check,No,Yes,Yes,1,No,Yes,1,1
CUST00163,2,91.37,279.42,One year,Fiber optic,Mailed check,No internet service,No,No,0,No,No,3,1
CUST00164,53,45.24,2401.58,Two year,Fiber optic,Credit card,No,No,No,0,No,Yes,4,0
CUST00165,44,85.68,3648.05,One year,No,Bank transfer,No internet service,Yes,Yes,0,Yes,No,2,0
CUST00166,32,39.82,1286.6,Month-to-month,DSL,Mailed check,No,No,Yes,0,No,Yes,4,1
CUST00167,70,34.4,2397.83,Two year,No,Credit card,No,No,No,0,No,Yes,3,0
CUST00168,32,119.95,3772.51,Two year,Fiber optic,Mailed check,No,No,Yes,1,Yes,No,7,0
CUST00169,68,82.24,5607.79,One year,Fiber optic,Credit card,No,No,Yes,0,No,Yes,1,1
CUST00170,55,63.1,3423.39,Month-to-month,Fiber optic,Bank transfer,No,No internet service,No,0,No,Yes,6,0
CUST00171,56,48.82,2743.57,One year,Fiber optic,Bank transfer,No,No,Yes,0,No,No,2,0
CUST00172,17,80.39,1331.55,Month-to-month,Fiber optic,Bank transfer,No internet service,No internet service,Yes,1,Yes,No,4,1
CUST00173,38,24.96,903.2,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0,Yes,Yes,5,1
CUST00174,24,29.47,706.5,Month-to-month,Fiber optic,Credit card,Yes,Yes,No,0,Yes,Yes,2,0
CUST00175,69,23.29,1525.91,Two year,Fiber optic,Electronic check,No internet service,Yes,Yes,0,No,Yes,5,0
CUST00176,70,69.92,4890.27,Two year,DSL,Bank transfer,No,Yes,No,0,No,Yes,5,0
CUST00177,11,80.06,913.52,One year,No,Electronic check,No,No,No,1,No,No,5,0
CUST00178,16,26.25,483.53,Month-to-month,DSL,Electronic check,No internet service,No,Yes,0,No,Yes,5,0
CUST00179,59,92.12,5489.51,Month-to-month,Fiber optic,Mailed check,No internet service,Yes,Yes,0,Yes,Yes,6,0
CUST00180,70,43.04,3080.47,Two year,DSL,Credit card,Yes,No,Yes,1,Yes,No,2,0
CUST00181,3,88.52,242.82,One year,Fiber optic,Mailed check,Yes,No,Yes,0,No,Yes,5,0
CUST00182,20,118.19,2312.57,Two year,DSL,Electronic check,Yes,Yes,Yes,0,No,No,6,0
CUST00183,59,89.11,5298.26,Month-to-month,No,Bank transfer,No,Yes,Yes,0,No,Yes,2,1
CUST00184,36,108.32,3873.68,One year,DSL,Bank transfer,No,Yes,Yes,0,No,No,1,1
CUST00185,19,114.82,2181.89,Two year,Fiber optic,Electronic check,No,Yes,Yes,0,No,No,4,1
CUST00186,67,68.68,4638.9,Month-to-month,No,Bank transfer,No,No,Yes,0,No,Yes,7,0
CUST00187,19,90.23,1815.42,Month-to-month,DSL,Electronic check,Yes,Yes,Yes,0,No,No,4,1
CUST00188,20,105.2,2130.44,Month-to-month,No,Mailed check,Yes,No,No,0,Yes,No,7,1
CUST00189,71,55.66,3962.12,Two year,No,Mailed check,No internet service,Yes,No,0,No,Yes,7,0
CUST00190,52,46.14,2343.22,One year,Fiber optic,Bank transfer,No internet service,No,Yes,0,No,No,4,1
CUST00191,33,114.66,3842.25,One year,DSL,Electronic check,Yes,No,Yes,0,Yes,No,1,0
CUST00192,40,92.63,3725.63,Month-to-month,DSL,Mailed check,Yes,No,Yes,0,No,Yes,4,0
CUST00193,39,41.97,1619.47,One year,DSL,Bank transfer,No,No,No,0,No,Yes,6,0
CUST00194,1,64.91,42.39,One year,DSL,Bank transfer,Yes,No,No,0,No,Yes,1,0
CUST00195,11,99.65,1075.81,Month-to-month,DSL,Mailed check,Yes,No,Yes,0,No,No,3,1
CUST00196,57,74.71,4260.67,Two year,No,Electronic check,No,No,Yes,0,Yes,Yes,2,0
CUST00197,50,85.0,4177.05,Month-to-month,Fiber optic,Bank transfer,Yes,No,No,0,No,Yes,7,0
CUST00198,23,95.38,2254.64,Month-to-month,DSL,Credit card,No,Yes,No,0,No,No,3,0
CUST00199,31,82.2,2599.93,Month-to-month,DSL,Electronic check,No internet service,No,No,0,No,No,1,0
CUST00200,42,74.01,3100.05,Month-to-month,Fiber optic,Mailed check,No internet service,No,Yes,0,No,No,5,0
CUST00201,7,94.96,644.49,One year,DSL,Bank transfer,No,No internet service,No,0,No,Yes,1,0
CUST00202,16,92.76,1483.0,Month-to-month,No,Bank transfer,No,No,Yes,0,No,No,6,1
CUST00203,60,82.99,4986.73,Two year,DSL,Bank transfer,No,Yes,Yes,1,Yes,No,2,0
CUST00204,2,55.98,96.96,Month-to-month,No,Bank transfer,Yes,No internet service,Yes,0,Yes,Yes,3,0
CUST00205,1,60.58,110.53,Month-to-month,Fiber optic,Mailed check,No,Yes,No,0,No,Yes,1,1
CUST00206,48,117.04,5546.71,One year,No,Bank transfer,No,No internet service,Yes,0,No,No,2,0
CUST00207,12,31.24,339.28,One year,DSL,Electronic check,Yes,No,Yes,0,No,No,5,0
CUST00208,69,46.85,3271.41,Month-to-month,DSL,Electronic check,No,Yes,No,0,No,Yes,6,0
CUST00209,37,69.24,2578.09,Two year,Fiber optic,Credit card,Yes,Yes,Yes,0,Yes,No,3,0
CUST00210,32,103.67,3283.46,One year,No,Credit card,No internet service,No,No,0,No,Yes,3,0
CUST00211,9,36.37,347.35,Month-to-month,Fiber optic,Bank transfer,No internet service,Yes,No,0,Yes,No,4,0
CUST00212,19,47.7,866.65,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,0,No,Yes,3,1
CUST00213,48,26.58,1260.33,Month-to-month,DSL,Bank transfer,Yes,Yes,Yes,0,No,No,7,1
CUST00214,3,90.6,323.99,Two year,Fiber optic,Bank transfer,Yes,Yes,Yes,0,Yes,Yes,4,0
CUST00215,20,43.82,923.05,Month-to-month,Fiber optic,Mailed check,No internet service,No,Yes,0,Yes,Yes,3,1
CUST00216,24,58.87,1427.29,Month-to-month,Fiber optic,Bank transfer,Yes,Yes,Yes,0,Yes,No,3,0
CUST00217,54,64.37,3423.42,Month-to-month,DSL,Electronic check,No,No,No,1,No,Yes,1,0
CUST00218,33,109.13,3582.41,Month-to-month,DSL,Electronic check,Yes,No,Yes,1,No,Yes,5,0
CUST00219,24,61.13,1471.94,One year,Fiber optic,Credit card,No,No,Yes,0,No,Yes,6,0
CUST00220,36,34.52,1315.49,One year,No,Credit card,No internet service,No,No,0,Yes,No,5,0
CUST00221,38,72.43,2663.22,Month-to-month,Fiber optic,Credit card,No,No,No,0,Yes,No,3,1
CUST00222,25,116.3,2863.89,Month-to-month,Fiber optic,Bank transfer,No,Yes,No,0,No,Yes,3,1
CUST00223,18,80.77,1510.29,Month-to-month,No,Electronic check,No,No internet service,Yes,0,No,Yes,4,0
CUST00224,66,118.34,7878.45,One year,DSL,Mailed check,No,No,No,1,Yes,No,5,0
CUST00225,54,104.11,5618.45,Two year,DSL,Electronic check,No,No,Yes,0,No,Yes,7,0
CUST00226,35,23.6,902.92,Month-to-month,Fiber optic,Bank transfer,No internet service,No,Yes,0,No,Yes,6,0
CUST00227,61,85.84,5199.57,Month-to-month,Fiber optic,Mailed check,No internet service,No,No,0,No,Yes,1,1
CUST00228,41,48.68,1920.42,Month-to-month,Fiber optic,Bank transfer,No,No internet service,No,0,Yes,Yes,5,1
CUST00229,33,75.96,2546.19,Two year,DSL,Credit card,No,No internet service,Yes,0,No,No,2,0
CUST00230,68,47.93,3323.98,Month-to-month,Fiber optic,Mailed check,Yes,No internet service,Yes,0,No,No,5,1
CUST00231,33,54.89,1875.27,Month-to-month,Fiber optic,Electronic check,No internet service,No,Yes,0,No,Yes,1,0
CUST00232,14,112.32,1529.31,Month-to-month,Fiber optic,Electronic check,Yes,No internet service,No,0,No,Yes,5,0
CUST00233,21,40.66,863.83,Month-to-month,Fiber optic,Electronic check,No,No,No,0,No,Yes,6,1
CUST00234,48,107.41,5197.67,One year,Fiber optic,Mailed check,No,Yes,Yes,0,No,No,1,0
CUST00235,20,23.05,476.05,Month-to-month,No,Bank transfer,Yes,Yes,Yes,0,No,No,4,0
CUST00236,8,29.09,305.04,Month-to-month,No,Mailed check,No,No,Yes,0,No,Yes,3,0
CUST00237,7,105.47,718.04,One year,No,Credit card,Yes,No,Yes,0,No,Yes,6,0
CUST00238,67,83.06,5561.49,Month-to-month,No,Electronic check,No internet service,Yes,Yes,0,No,No,6,0
CUST00239,17,94.72,1622.05,One year,DSL,Bank transfer,No internet service,No,Yes,0,No,Yes,4,0
CUST00240,33,40.94,1392.65,Month-to-month,No,Bank transfer,No,No internet service,Yes,1,Yes,No,3,0
CUST00241,48,73.71,3528.36,One year,Fiber optic,Electronic check,No,No internet service,No,0,No,No,4,0
CUST00242,59,93.72,5575.85,Month-to-month,Fiber optic,Mailed check,Yes,No,No,1,No,Yes,4,0
CUST00243,22,82.73,1900.29,Two year,DSL,Bank transfer,No internet service,Yes,Yes,1,Yes,No,7,0
CUST00244,30,67.17,1989.2,Month-to-month,No,Electronic check,No,Yes,No,0,No,No,7,0
CUST00245,38,115.98,4399.01,Month-to-month,DSL,Credit card,Yes,Yes,No,0,No,No,3,0
CUST00246,51,87.62,4517.01,Two year,DSL,Electronic check,No internet service,No,Yes,0,No,No,1,0
CUST00247,54,110.78,6078.5,Two year,No,Electronic check,No,No,No,0,No,Yes,2,1
CUST00248,8,92.98,775.64,Month-to-month,Fiber optic,Electronic check,Yes,Yes,Yes,1,No,Yes,3,0
CUST00249,27,93.55,2486.54,Two year,Fiber optic,Mailed check,No internet service,Yes,No,0,No,No,1,0
CUST00250,27,28.0,765.91,Month-to-month,Fiber optic,Electronic check,No,Yes,No,0,No,No,1,1
CUST00251,21,55.95,1222.96,One year,DSL,Mailed check,No,No,Yes,0,No,No,1,0
CUST00252,30,105.84,3134.57,Month-to-month,Fiber optic,Electronic check,Yes,No,Yes,1,No,Yes,6,1
CUST00253,28,43.26,1157.36,Month-to-month,DSL,Electronic check,No,No internet service,No,0,Yes,Yes,5,1
CUST00254,64,31.55,2001.95,Month-to-month,No,Electronic check,No,No,Yes,0,No,Yes,3,0
